Name,Nickname,Abbreviation
Atlanta Hawks,Hawks,ATL
Boston Celtics,Celtics,BOS
Cleveland Cavaliers,Cavaliers,CLE
New Orleans Pelicans,Pelicans,NOP
Chicago Bulls,Bulls,CHI
Dallas Mavericks,Mavericks,DAL
Denver Nuggets,Nuggets,DEN
Golden State Warriors,Warriors,GSW
Houston Rockets,Rockets,HOU
Los Angeles Clippers,Clippers,LAC
Los Angeles Lakers,Lakers,LAL
Miami Heat,Heat,MIA
Milwaukee Bucks,Bucks,MIL
Minnesota Timberwolves,Timberwolves,MIN
Brooklyn Nets,Nets,BKN
New York Knicks,Knicks,NYK
Orlando Magic,Magic,ORL
Indiana Pacers,Pacers,IND
Philadelphia 76ers,76ers,PHI
Phoenix Suns,Suns,PHX
Portland Trail Blazers,Trail Blazers,POR
Sacramento Kings,Kings,SAC
San Antonio Spurs,Spurs,SAS
Oklahoma City Thunder,Thunder,OKC
Toronto Raptors,Raptors,TOR
Utah Jazz,Jazz,UTA
Memphis Grizzlies,Grizzlies,MEM
Washington Wizards,Wizards,WAS
Detroit Pistons,Pistons,DET
Charlotte Hornets,Hornets,CHA
